Date,Open,High,Low,Close
2012-05-25,11695.1,11795.2,11638.85,11668
2012-05-28,11699.25,11811.75,11691.1,11783
2012-05-29,11806.05,11812.7,11636,11661
2012-05-30,11659.8,11748.35,11625.6,11668
2012-05-31,11572.3,11698.6,11572.3,11646
2012-06-01,11635.6,11734.85,11606,11687
2012-06-04,11635.25,11635.25,11477.6,11502
2012-06-05,11532.15,11594.05,11340.4,11377
2012-06-06,11387.85,11813.1,11387.85,11720
2012-06-07,11768.7,11885.85,11702.5,11813
2012-06-08,11817.85,11957.8,11751.3,11909
2012-06-11,11875.6,11998.35,11861.9,11944
2012-06-12,11864.55,12062.6,11806.6,12030
2012-06-13,12009.3,12204.85,12009.3,12177
2012-06-14,12141,12301.4,12120,12137
2012-06-15,12155.8,12320.3,12139.3,12289
2012-06-18,12278.65,12369.15,12070.25,12094
2012-06-19,12072.75,12315.4,12072.75,12274
2012-06-20,12273.1,12318.75,12219.45,12245
2012-06-21,12219.65,12474.95,12218.4,12435
2012-06-22,12388.2,12466.25,12277.5,12395
2012-06-25,12380.1,12503.5,12358.6,12383
2012-06-26,12353.95,12377.2,12239.25,12282
2012-06-27,12324.05,12370.6,12305.1,12346
2012-06-28,12352.5,12487.7,12333.55,12462
2012-06-29,12510.5,12770.35,12510.5,12729
2012-07-02,12729.45,12784.9,12393.6,12455
2012-07-03,12454,12497.9,12315.55,12347
2012-07-04,12403.8,12425.05,12257.7,12316
2012-07-05,12340.35,12479.2,12332.25,12465
2012-07-06,12478,12590.15,12443.85,12548
2012-07-09,12491.4,12592.2,12432.5,12465
2012-07-10,12476.7,12694.85,12409.7,12673
2012-07-11,12628,12636.95,12485.7,12499
2012-07-12,12497.3,12573.8,12469.8,12484
2012-07-13,12473,12546.25,12445.95,12523
2012-07-16,12504.2,12583.7,12449.7,12476
2012-07-17,12516.05,12625.65,12513.8,12605
2012-07-18,12640.25,12646.6,12548.7,12614
2012-07-19,12618.3,12674,12566.3,12603
2012-07-20,12570.25,12639.6,12568.1,12589
2012-07-23,12545.6,12554.65,12425.8,12450
2012-07-24,12537,12693.35,12493,12682
2012-07-25,12674.75,12772.95,12587.6,12754
2012-07-26,12786.65,12820.1,12512.85,12555
2012-07-27,12713.9,12761.75,12656.7,12724
2012-07-30,12767.65,12889.7,12700.45,12854
2012-07-31,12859.7,12970.45,12829.4,12893
2012-08-01,12880.15,12959.45,12840.25,12945
2012-08-02,12973.1,13050.75,12967.3,13036
2012-08-03,12980.15,13025.45,12938.45,12987
2012-08-06,13031.3,13087.9,12938.15,12959
2012-08-07,12968.05,13054.9,12935.85,13036
2012-08-08,13028.5,13138.1,13004.95,13076
2012-08-09,13072.7,13298.25,13072.7,13269
2012-08-10,13226.7,13390.05,13224.35,13359
2012-08-13,13332.35,13440.5,13306.4,13376
2012-08-14,13385.9,13444.75,13285.55,13406
2012-08-16,13384.6,13422.55,13112.55,13136
2012-08-17,13130,13365,13130,13306
2012-08-21,13303.5,13369.15,13236.35,13350
2012-08-22,13325.45,13407.55,13303.6,13357
2012-08-23,13370.15,13488.3,13370.15,13466
2012-08-24,13448.9,13543.05,13390.5,13490
2012-08-27,13498.85,13560.55,13488.95,13530
2012-08-28,13529.75,13649.35,13527.25,13629
2012-08-29,13641.5,13718.2,13591.45,13698
2012-08-30,13667.25,13905.9,13622.8,13793
2012-08-31,13772.4,13775.7,13589.65,13641
2012-09-03,13694.95,13730.4,13615.95,13670
2012-09-04,13650.65,13771.95,13650.65,13703
2012-09-05,13673.3,13834.45,13673.3,13794
2012-09-06,13774.4,13783.15,13535.65,13557
2012-09-07,13653.35,13681.6,13585.9,13660
2012-09-08,13650.3,13718,13650.3,13708
2012-09-10,13729.1,13753.7,13650.55,13693
2012-09-11,13688.1,13769.35,13658.7,13738
2012-09-12,13762.9,13847.55,13746.15,13827
2012-09-13,13818.1,13931.85,13805.95,13918
2012-09-14,14000.35,14042.55,13814.95,13857
2012-09-17,13897.45,13921.75,13267.25,13329
2012-09-18,13337.55,13453.7,13219.25,13350
2012-09-20,13327.5,13472.9,13312.3,13368
2012-09-21,13431.95,13672,13425.1,13575
2012-09-24,13573.95,13625.95,13297,13370
2012-09-25,13372.05,13671.6,13338.15,13620
2012-09-26,13671.2,13787.75,13631,13720
2012-09-27,13745.65,13983.2,13725.45,13940
2012-09-28,13930.35,14162.95,13930.35,14136
2012-10-01,14095.35,14206.05,14095.35,14167
2012-10-03,14171.4,14238.8,14113.05,14197
2012-10-04,14204.4,14385.3,14204.4,14343
2012-10-05,14396.05,14541.9,13980.05,14419
2012-10-08,14408.1,14501.4,14362.75,14418
2012-10-09,14445.85,14590.9,14445.85,14575
2012-10-10,14550,14614.05,14495.2,14572
2012-10-11,14532.95,14730.15,14440.9,14694
2012-10-12,14743.4,14782.45,14650.05,14710
2012-10-15,14698.95,14833.05,14605.45,14807
2012-10-16,14757.95,14881.65,14687.05,14793
2012-10-17,14791.7,14877.75,14750.2,14844
2012-10-18,14853.1,14960.7,14773.85,14945
2012-10-19,14931.35,15106.8,14865.4,15063
2012-10-22,15078,15078,14880.85,15006
2012-10-23,15032.55,15032.55,14846.5,14890
2012-10-25,14930.3,14984.5,14809.2,14913
2012-10-26,14890.4,14929.65,14603.9,14643
2012-10-29,14635.5,14741.2,14491.8,14613
2012-10-30,14580.15,14680.6,14523.45,14550
2012-10-31,14572.35,14595.85,14459.6,14523
2012-11-01,14460.2,14484.75,14330.25,14414
2012-11-02,14497.6,14615.7,14468.85,14502
2012-11-05,14544.4,14683.4,14512.45,14670
2012-11-06,14663.85,14764.1,14613.6,14687
2012-11-07,14703.6,14776.25,14624.5,14753
2012-11-08,14685.7,14853.7,14680.65,14782
2012-11-09,14750,14864.15,14693.05,14744
2012-11-12,14731.75,14927.85,14731.75,14838
2012-11-13,14896.55,14906.35,14824.75,14893
2012-11-15,14877.05,14877.05,14684.6,14713
2012-11-16,14736.45,14831.8,14463.7,14510
2012-11-19,14493.4,14662.65,14423.85,14644
2012-11-20,14702.15,14775.95,14558.9,14620
2012-11-21,14611.8,14848.1,14570.6,14821
2012-11-22,14857.15,14917.45,14765.55,14905
2012-11-23,14915.95,14941,14771.55,14915
2012-11-26,14946.9,15115.8,14946.9,15091
2012-11-27,15092.25,15445.2,15092.25,15417
2012-11-29,15404.25,15622,15404.25,15586
2012-11-30,15533.15,15611.9,15415.75,15551
2012-12-03,15537.95,15578.65,15454.2,15514
2012-12-04,15472.75,15557.4,15434.85,15530
2012-12-05,15517.9,15634.8,15515,15550
2012-12-06,15572.3,15669.65,15419.75,15635
2012-12-07,15608.25,15689.85,15546.55,15610
